BoardNumber	Depth	VDP	Board	Shift
2  0.414  42.8  A2  A
3  0.414  47.61  A3  A
4  0.414  46.29  A4  A
5  0.414  43.09  A5  A
6  0.414  40.17  A6  A
7  0.414  44.01  A7  A
8  0.414  44.1  A8  A
9  0.414  42.8  A9  A
1  0.416  45.82  A1  A
2  0.416  42.92  A2  A
3  0.416  47.89  A3  A
4  0.416  46.15  A4  A
5  0.416  43.34  A5  A
6  0.416  40.17  A6  A
7  0.416  43.63  A7  A
8  0.416  44.04  A8  A
9  0.416  42.93  A9  A
1  0.418  46.15  A1  A
2  0.418  42.86  A2  A
3  0.418  47.47  A3  A
4  0.418  46.43  A4  A
5  0.418  43.28  A5  A
6  0.418  40.35  A6  A
7  0.418  43.95  A7  A
8  0.418  44.04  A8  A
9  0.418  42.87  A9  A
1  0.42  46.02  A1  A
2  0.42  42.86  A2  A
3  0.42  47.61  A3  A
4  0.42  45.82  A4  A
5  0.42  43.53  A5  A
6  0.42  40.35  A6  A
7  0.42  44.21  A7  A
8  0.42  44.36  A8  A
9  0.42  42.93  A9  A
1  0.422  46.02  A1  A
2  0.422  42.74  A2  A
3  0.422  47.89  A3  A
4  0.422  45.88  A4  A
5  0.422  43.66  A5  A
6  0.422  39.88  A6  A
7  0.422  44.21  A7  A
8  0.422  43.97  A8  A
9  0.422  43.3  A9  A
1  0.424  46.02  A1  A
2  0.424  43.11  A2  A
3  0.424  47.82  A3  A
4  0.424  46.36  A4  A
5  0.424  43.85  A5  A
6  0.424  40.05  A6  A
7  0.424  44.14  A7  A
8  0.424  43.97  A8  A
9  0.424  43.18  A9  A
1  0.426  46.15  A1  A
2  0.426  43.11  A2  A
3  0.426  47.61  A3  A
4  0.426  46.02  A4  A
5  0.426  43.34  A5  A
6  0.426  40.05  A6  A
7  0.426  44.08  A7  A
8  0.426  44.48  A8  A
9  0.426  43.49  A9  A
1  0.428  46.42  A1  A
2  0.428  43.17  A2  A
3  0.428  47.68  A3  A
4  0.428  46.36  A4  A
5  0.428  43.47  A5  A
6  0.428  40.17  A6  A
7  0.428  44.47  A7  A
8  0.428  44.42  A8  A
9  0.428  43.18  A9  A
1  0.43  46.28  A1  A
2  0.43  42.92  A2  A
3  0.43  47.54  A3  A
4  0.43  46.49  A4  A
5  0.43  43.53  A5  A
6  0.43  39.99  A6  A
7  0.43  44.4  A7  A
8  0.43  44.55  A8  A
9  0.43  42.87  A9  A
1  0.432  46.62  A1  A
2  0.432  42.98  A2  A
3  0.432  47.75  A3  A
4  0.432  46.49  A4  A
5  0.432  43.98  A5  A
6  0.432  40.17  A6  A
7  0.432  44.01  A7  A
8  0.432  44.23  A8  A
9  0.432  43.24  A9  A
1  0.434  46.35  A1  A
2  0.434  43.11  A2  A
3  0.434  47.61  A3  A
4  0.434  46.56  A4  A
5  0.434  43.09  A5  A
6  0.434  40.11  A6  A
7  0.434  44.34  A7  A
8  0.434  44.42  A8  A
9  0.434  43.11  A9  A
1  0.436  46.09  A1  A
2  0.436  43.36  A2  A
3  0.436  48.03  A3  A
4  0.436  46.7  A4  A
5  0.436  43.66  A5  A
6  0.436  40.23  A6  A
7  0.436  44.34  A7  A
8  0.436  44.74  A8  A
9  0.436  43.05  A9  A
1  0.438  45.89  A1  A
2  0.438  43.05  A2  A
3  0.438  47.47  A3  A
4  0.438  46.7  A4  A
5  0.438  43.66  A5  A
6  0.438  40.17  A6  A
7  0.438  44.21  A7  A
8  0.438  44.55  A8  A
9  0.438  43.18  A9  A
1  0.44  46.02  A1  A
2  0.44  43.11  A2  A
3  0.44  47.68  A3  A
4  0.44  46.77  A4  A
5  0.44  43.85  A5  A
6  0.44  40.23  A6  A
7  0.44  44.27  A7  A
8  0.44  44.36  A8  A
9  0.44  43.18  A9  A
1  0.442  46.15  A1  A
2  0.442  42.98  A2  A
3  0.442  47.89  A3  A
4  0.442  46.9  A4  A
5  0.442  43.79  A5  A
6  0.442  40.53  A6  A
7  0.442  44.4  A7  A
8  0.442  44.81  A8  A
9  0.442  42.8  A9  A
1  0.444  46.28  A1  A
2  0.444  43.3  A2  A
3  0.444  47.61  A3  A
4  0.444  46.97  A4  A
5  0.444  43.91  A5  A
6  0.444  40.41  A6  A
7  0.444  44.14  A7  A
8  0.444  44.61  A8  A
9  0.444  42.93  A9  A
1  0.446  46.22  A1  A
2  0.446  43.3  A2  A
3  0.446  47.75  A3  A
4  0.446  46.49  A4  A
5  0.446  44.11  A5  A
6  0.446  40.53  A6  A
7  0.446  44.34  A7  A
8  0.446  44.29  A8  A
9  0.446  42.74  A9  A
1  0.448  46.28  A1  A
2  0.448  43.48  A2  A
3  0.448  47.61  A3  A
4  0.448  46.49  A4  A
5  0.448  44.04  A5  A
6  0.448  40.47  A6  A
7  0.448  44.4  A7  A
8  0.448  44.68  A8  A
9  0.448  42.99  A9  A
1  0.45  46.22  A1  A
2  0.45  43.74  A2  A
3  0.45  47.68  A3  A
4  0.45  46.77  A4  A
5  0.45  43.98  A5  A
6  0.45  40.29  A6  A
7  0.45  44.6  A7  A
8  0.45  44.87  A8  A
9  0.45  43.05  A9  A
1  0.452  46.28  A1  A
2  0.452  43.48  A2  A
3  0.452  47.2  A3  A
4  0.452  46.15  A4  A
5  0.452  44.04  A5  A
6  0.452  40.47  A6  A
7  0.452  44.47  A7  A
8  0.452  44.1  A8  A
9  0.452  43.05  A9  A
1  0.454  46.62  A1  A
2  0.454  43.8  A2  A
3  0.454  47.34  A3  A
4  0.454  46.56  A4  A
5  0.454  44.04  A5  A
6  0.454  40.76  A6  A
7  0.454  44.73  A7  A
8  0.454  44.55  A8  A
9  0.454  42.93  A9  A
1  0.456  46.62  A1  A
2  0.456  43.8  A2  A
3  0.456  47.2  A3  A
4  0.456  46.56  A4  A
5  0.456  44.37  A5  A
6  0.456  40.53  A6  A
7  0.456  44.6  A7  A
8  0.456  44.61  A8  A
9  0.456  43.55  A9  A
1  0.458  46.69  A1  A
2  0.458  43.8  A2  A
3  0.458  47.41  A3  A
4  0.458  46.97  A4  A
5  0.458  44.11  A5  A
6  0.458  40.53  A6  A
7  0.458  44.53  A7  A
8  0.458  44.48  A8  A
9  0.458  43.18  A9  A
1  0.46  47.29  A1  A
2  0.46  43.86  A2  A
3  0.46  45.99  A3  A
4  0.46  46.9  A4  A
5  0.46  44.56  A5  A
6  0.46  40.53  A6  A
7  0.46  44.6  A7  A
8  0.46  44.87  A8  A
9  0.46  43.18  A9  A
1  0.462  47.5  A1  A
2  0.462  43.99  A2  A
3  0.462  47.47  A3  A
4  0.462  46.9  A4  A
5  0.462  44.43  A5  A
6  0.462  40.53  A6  A
7  0.462  44.4  A7  A
8  0.462  44.81  A8  A
9  0.462  43.24  A9  A
1  0.464  47.5  A1  A
2  0.464  43.74  A2  A
3  0.464  47.54  A3  A
4  0.464  47.11  A4  A
5  0.464  44.43  A5  A
6  0.464  40.76  A6  A
7  0.464  44.6  A7  A
8  0.464  44.74  A8  A
9  0.464  43.24  A9  A
1  0.466  47.57  A1  A
2  0.466  43.86  A2  A
3  0.466  47.47  A3  A
4  0.466  46.56  A4  A
5  0.466  44.76  A5  A
6  0.466  40.59  A6  A
7  0.466  44.66  A7  A
8  0.466  44.81  A8  A
9  0.466  42.99  A9  A
1  0.468  47.09  A1  A
2  0.468  43.86  A2  A
3  0.468  47.47  A3  A
4  0.468  47.11  A4  A
5  0.468  44.24  A5  A
6  0.468  40.82  A6  A
7  0.468  44.34  A7  A
8  0.468  45.2  A8  A
9  0.468  43.49  A9  A
1  0.47  46.55  A1  A
2  0.47  44.05  A2  A
3  0.47  47.68  A3  A
4  0.47  46.84  A4  A
5  0.47  44.69  A5  A
6  0.47  40.35  A6  A
7  0.47  44.73  A7  A
8  0.47  44.74  A8  A
9  0.47  43.18  A9  A
1  0.472  46.28  A1  A
2  0.472  43.86  A2  A
3  0.472  47.82  A3  A
4  0.472  46.7  A4  A
5  0.472  44.95  A5  A
6  0.472  40.94  A6  A
7  0.472  44.73  A7  A
8  0.472  44.94  A8  A
9  0.472  43.3  A9  A
1  0.474  46.75  A1  A
2  0.474  43.67  A2  A
3  0.474  49.08  A3  A
4  0.474  46.77  A4  A
5  0.474  44.82  A5  A
6  0.474  41.06  A6  A
7  0.474  44.79  A7  A
8  0.474  44.87  A8  A
9  0.474  42.93  A9  A
1  0.476  46.15  A1  A
2  0.476  43.99  A2  A
3  0.476  49.01  A3  A
4  0.476  47.04  A4  A
5  0.476  45.22  A5  A
6  0.476  40.82  A6  A
7  0.476  44.4  A7  A
8  0.476  45.2  A8  A
9  0.476  43.11  A9  A
1  0.478  46.55  A1  A
2  0.478  44.05  A2  A
3  0.478  49.37  A3  A
4  0.478  46.84  A4  A
5  0.478  45.35  A5  A
6  0.478  41.19  A6  A
7  0.478  44.47  A7  A
8  0.478  45.07  A8  A
9  0.478  42.99  A9  A
1  0.48  46.69  A1  A
2  0.48  44.12  A2  A
3  0.48  49.23  A3  A
4  0.48  46.84  A4  A
5  0.48  45.15  A5  A
6  0.48  41.37  A6  A
7  0.48  44.66  A7  A
8  0.48  45.13  A8  A
9  0.48  42.99  A9  A
1  0.482  46.42  A1  A
2  0.482  44.12  A2  A
3  0.482  49.3  A3  A
4  0.482  46.9  A4  A
5  0.482  45.62  A5  A
6  0.482  41.61  A6  A
7  0.482  44.92  A7  A
8  0.482  45.26  A8  A
9  0.482  43.36  A9  A
1  0.484  46.48  A1  A
2  0.484  44.31  A2  A
3  0.484  49.3  A3  A
4  0.484  46.97  A4  A
5  0.484  45.62  A5  A
6  0.484  41.98  A6  A
7  0.484  45.06  A7  A
8  0.484  45.39  A8  A
9  0.484  43.49  A9  A
1  0.486  46.75  A1  A
2  0.486  44.24  A2  A
3  0.486  48.87  A3  A
4  0.486  46.9  A4  A
5  0.486  44.95  A5  A
6  0.486  41.73  A6  A
7  0.486  45.65  A7  A
8  0.486  45.33  A8  A
9  0.486  43.43  A9  A
1  0.488  46.82  A1  A
2  0.488  44.24  A2  A
3  0.488  48.87  A3  A
4  0.488  47.32  A4  A
5  0.488  44.95  A5  A
6  0.488  41.55  A6  A
7  0.488  45.52  A7  A
8  0.488  45.79  A8  A
9  0.488  43.62  A9  A
1  0.49  46.89  A1  A
2  0.49  44.24  A2  A
3  0.49  48.8  A3  A
4  0.49  47.25  A4  A
5  0.49  44.95  A5  A
6  0.49  41.98  A6  A
7  0.49  46.26  A7  A
8  0.49  45.72  A8  A
9  0.49  43.87  A9  A
1  0.492  47.09  A1  A
2  0.492  44.31  A2  A
3  0.492  49.08  A3  A
4  0.492  47.6  A4  A
5  0.492  44.63  A5  A
6  0.492  41.61  A6  A
7  0.492  46.06  A7  A
8  0.492  46.25  A8  A
9  0.492  43.99  A9  A
1  0.494  46.69  A1  A
2  0.494  44.82  A2  A
3  0.494  49.51  A3  A
4  0.494  47.81  A4  A
5  0.494  44.76  A5  A
6  0.494  41.73  A6  A
7  0.494  45.79  A7  A
8  0.494  46.05  A8  A
9  0.494  44.25  A9  A
1  0.496  47.22  A1  A
2  0.496  44.89  A2  A
3  0.496  49.23  A3  A
4  0.496  47.95  A4  A
5  0.496  45.09  A5  A
6  0.496  41.98  A6  A
7  0.496  45.59  A7  A
8  0.496  45.72  A8  A
9  0.496  44.38  A9  A
1  0.498  47.02  A1  A
2  0.498  45.15  A2  A
3  0.498  49.01  A3  A
4  0.498  47.88  A4  A
5  0.498  45.09  A5  A
6  0.498  41.55  A6  A
7  0.498  45.99  A7  A
8  0.498  46.05  A8  A
9  0.498  44.57  A9  A
1  0.5  47.02  A1  A
2  0.5  44.82  A2  A
3  0.5  49.23  A3  A
4  0.5  47.81  A4  A
5  0.5  45.28  A5  A
6  0.5  41.55  A6  A
7  0.5  45.99  A7  A
8  0.5  46.05  A8  A
9  0.5  44.96  A9  A
1  0.502  47.22  A1  A
2  0.502  45.28  A2  A
3  0.502  49.3  A3  A
4  0.502  47.32  A4  A
5  0.502  45.42  A5  A
6  0.502  41.37  A6  A
7  0.502  45.59  A7  A
8  0.502  45.99  A8  A
9  0.502  44.63  A9  A
1  0.504  47.16  A1  A
2  0.504  45.41  A2  A
3  0.504  49.37  A3  A
4  0.504  47.74  A4  A
5  0.504  45.28  A5  A
6  0.504  41.92  A6  A
7  0.504  45.59  A7  A
8  0.504  46.32  A8  A
9  0.504  44.63  A9  A
1  0.506  47.7  A1  A
2  0.506  45.74  A2  A
3  0.506  49.37  A3  A
4  0.506  47.81  A4  A
5  0.506  45.22  A5  A
6  0.506  41.73  A6  A
7  0.506  45.52  A7  A
8  0.506  46.05  A8  A
9  0.506  44.7  A9  A
1  0.508  47.22  A1  A
2  0.508  46.07  A2  A
3  0.508  49.66  A3  A
4  0.508  47.67  A4  A
5  0.508  45.48  A5  A
6  0.508  41.79  A6  A
7  0.508  45.72  A7  A
8  0.508  46.12  A8  A
9  0.508  44.38  A9  A
1  0.51  47.36  A1  A
2  0.51  46.07  A2  A
3  0.51  49.66  A3  A
4  0.51  47.88  A4  A
5  0.51  45.68  A5  A
6  0.51  41.67  A6  A
7  0.51  45.59  A7  A
8  0.51  46.25  A8  A
9  0.51  44.63  A9  A
1  0.512  47.22  A1  A
2  0.512  45.87  A2  A
3  0.512  49.95  A3  A
4  0.512  47.81  A4  A
5  0.512  45.35  A5  A
6  0.512  41.79  A6  A
7  0.512  45.65  A7  A
8  0.512  46.25  A8  A
9  0.512  44.63  A9  A
1  0.514  47.5  A1  A
2  0.514  46.27  A2  A
3  0.514  49.44  A3  A
4  0.514  47.53  A4  A
5  0.514  45.82  A5  A
6  0.514  41.98  A6  A
7  0.514  45.79  A7  A
8  0.514  45.65  A8  A
9  0.514  44.96  A9  A
1  0.516  47.77  A1  A
2  0.516  46.34  A2  A
3  0.516  50.09  A3  A
4  0.516  48.02  A4  A
5  0.516  45.68  A5  A
6  0.516  42.04  A6  A
7  0.516  45.39  A7  A
8  0.516  46.32  A8  A
9  0.516  44.57  A9  A
1  0.518  47.77  A1  A
2  0.518  46.07  A2  A
3  0.518  49.8  A3  A
4  0.518  47.74  A4  A
5  0.518  45.95  A5  A
6  0.518  42.1  A6  A
7  0.518  45.79  A7  A
8  0.518  46.66  A8  A
9  0.518  44.7  A9  A
1  0.52  47.63  A1  A
2  0.52  45.74  A2  A
3  0.52  50.09  A3  A
4  0.52  47.74  A4  A
5  0.52  45.82  A5  A
6  0.52  42.29  A6  A
7  0.52  45.99  A7  A
8  0.52  46.32  A8  A
9  0.52  44.63  A9  A
1  0.522  48.26  A1  A
2  0.522  46.13  A2  A
3  0.522  50.83  A3  A
4  0.522  47.95  A4  A
5  0.522  45.82  A5  A
6  0.522  42.54  A6  A
7  0.522  46.06  A7  A
8  0.522  46.45  A8  A
9  0.522  45.02  A9  A
1  0.524  48.19  A1  A
2  0.524  46.27  A2  A
3  0.524  50.17  A3  A
4  0.524  47.81  A4  A
5  0.524  46.02  A5  A
6  0.524  42.6  A6  A
7  0.524  45.86  A7  A
8  0.524  46.52  A8  A
9  0.524  44.7  A9  A
1  0.526  47.91  A1  A
2  0.526  46.54  A2  A
3  0.526  50.68  A3  A
4  0.526  47.81  A4  A
5  0.526  46.43  A5  A
6  0.526  42.91  A6  A
7  0.526  46.26  A7  A
8  0.526  46.79  A8  A
9  0.526  44.96  A9  A
1  0.528  48.19  A1  A
2  0.528  46.4  A2  A
3  0.528  50.61  A3  A
4  0.528  47.81  A4  A
5  0.528  46.29  A5  A
6  0.528  42.6  A6  A
7  0.528  46.4  A7  A
8  0.528  46.86  A8  A
9  0.528  45.02  A9  A
1  0.53  48.32  A1  A
2  0.53  46.2  A2  A
3  0.53  50.61  A3  A
4  0.53  48.02  A4  A
5  0.53  46.7  A5  A
6  0.53  42.66  A6  A
7  0.53  46.4  A7  A
8  0.53  47.33  A8  A
9  0.53  45.09  A9  A
1  0.532  48.81  A1  A
2  0.532  46.87  A2  A
3  0.532  51.13  A3  A
4  0.532  47.81  A4  A
5  0.532  46.5  A5  A
6  0.532  42.85  A6  A
7  0.532  46.26  A7  A
8  0.532  47.47  A8  A
9  0.532  45.09  A9  A
1  0.534  48.53  A1  A
2  0.534  46.81  A2  A
3  0.534  50.9  A3  A
4  0.534  47.95  A4  A
5  0.534  46.29  A5  A
6  0.534  42.6  A6  A
7  0.534  46.67  A7  A
8  0.534  47.89  A8  A
9  0.534  45.28  A9  A
1  0.536  48.6  A1  A
2  0.536  46.74  A2  A
3  0.536  51.28  A3  A
4  0.536  48.09  A4  A
5  0.536  46.36  A5  A
6  0.536  42.6  A6  A
7  0.536  46.26  A7  A
8  0.536  47.89  A8  A
9  0.536  44.89  A9  A
1  0.538  48.74  A1  A
2  0.538  46.94  A2  A
3  0.538  51.13  A3  A
4  0.538  48.52  A4  A
5  0.538  46.5  A5  A
6  0.538  42.41  A6  A
7  0.538  46.53  A7  A
8  0.538  47.54  A8  A
9  0.538  45.22  A9  A
1  0.54  48.74  A1  A
2  0.54  47.15  A2  A
3  0.54  51.65  A3  A
4  0.54  48.66  A4  A
5  0.54  46.56  A5  A
6  0.54  42.79  A6  A
7  0.54  46.6  A7  A
8  0.54  47.47  A8  A
9  0.54  44.76  A9  A
1  0.542  48.88  A1  A
2  0.542  47.15  A2  A
3  0.542  51.2  A3  A
4  0.542  48.73  A4  A
5  0.542  46.91  A5  A
6  0.542  42.91  A6  A
7  0.542  46.6  A7  A
8  0.542  47.96  A8  A
9  0.542  45.35  A9  A
1  0.544  49.03  A1  A
2  0.544  47.35  A2  A
3  0.544  51.65  A3  A
4  0.544  48.66  A4  A
5  0.544  47.25  A5  A
6  0.544  42.6  A6  A
7  0.544  46.6  A7  A
8  0.544  48.16  A8  A
9  0.544  45.22  A9  A
1  0.546  49.38  A1  A
2  0.546  47.28  A2  A
3  0.546  51.5  A3  A
4  0.546  49.24  A4  A
5  0.546  47.32  A5  A
6  0.546  42.72  A6  A
7  0.546  47.08  A7  A
8  0.546  48.37  A8  A
9  0.546  45.28  A9  A
1  0.548  48.96  A1  A
2  0.548  47.83  A2  A
3  0.548  51.65  A3  A
4  0.548  49.24  A4  A
5  0.548  47.32  A5  A
6  0.548  42.85  A6  A
7  0.548  47.08  A7  A
8  0.548  47.96  A8  A
9  0.548  45.35  A9  A
1  0.55  49.45  A1  A
2  0.55  47.76  A2  A
3  0.55  51.65  A3  A
4  0.55  49.46  A4  A
5  0.55  47.11  A5  A
6  0.55  43.16  A6  A
7  0.55  47.22  A7  A
8  0.55  48.37  A8  A
9  0.55  45.48  A9  A
1  0.552  49.88  A1  A
2  0.552  47.7  A2  A
3  0.552  51.73  A3  A
4  0.552  49.39  A4  A
5  0.552  47.67  A5  A
6  0.552  43.48  A6  A
7  0.552  47.01  A7  A
8  0.552  48.37  A8  A
9  0.552  45.94  A9  A
1  0.554  49.96  A1  A
2  0.554  47.83  A2  A
3  0.554  51.5  A3  A
4  0.554  49.61  A4  A
5  0.554  47.88  A5  A
6  0.554  43.23  A6  A
7  0.554  47.22  A7  A
8  0.554  48.87  A8  A
9  0.554  46.01  A9  A
1  0.556  50.25  A1  A
2  0.556  47.97  A2  A
3  0.556  51.65  A3  A
4  0.556  49.75  A4  A
5  0.556  47.53  A5  A
6  0.556  43.54  A6  A
7  0.556  47.57  A7  A
8  0.556  48.8  A8  A
9  0.556  46.08  A9  A
1  0.558  50.25  A1  A
2  0.558  48.04  A2  A
3  0.558  51.65  A3  A
4  0.558  50.27  A4  A
5  0.558  47.88  A5  A
6  0.558  43.35  A6  A
7  0.558  47.57  A7  A
8  0.558  48.66  A8  A
9  0.558  46.14  A9  A
1  0.56  50.17  A1  A
2  0.56  48.74  A2  A
3  0.56  51.96  A3  A
4  0.56  50.2  A4  A
5  0.56  48.16  A5  A
6  0.56  43.74  A6  A
7  0.56  47.71  A7  A
8  0.56  49.08  A8  A
9  0.56  46.01  A9  A
1  0.562  50.32  A1  A
2  0.562  48.46  A2  A
3  0.562  52.11  A3  A
4  0.562  50.35  A4  A
5  0.562  48.02  A5  A
6  0.562  44.12  A6  A
7  0.562  47.92  A7  A
8  0.562  49.22  A8  A
9  0.562  46.34  A9  A
1  0.564  50.54  A1  A
2  0.564  48.81  A2  A
3  0.564  52.03  A3  A
4  0.564  50.2  A4  A
5  0.564  48.31  A5  A
6  0.564  43.99  A6  A
7  0.564  47.99  A7  A
8  0.564  49.58  A8  A
9  0.564  46.01  A9  A
1  0.566  50.83  A1  A
2  0.566  49.03  A2  A
3  0.566  52.65  A3  A
4  0.566  50.5  A4  A
5  0.566  48.31  A5  A
6  0.566  44.32  A6  A
7  0.566  48.2  A7  A
8  0.566  49.66  A8  A
9  0.566  46.14  A9  A
1  0.568  50.61  A1  A
2  0.568  49.46  A2  A
3  0.568  52.72  A3  A
4  0.568  50.65  A4  A
5  0.568  49.02  A5  A
6  0.568  44.58  A6  A
7  0.568  48.42  A7  A
8  0.568  49.8  A8  A
9  0.568  46.54  A9  A
1  0.57  51.2  A1  A
2  0.57  49.38  A2  A
3  0.57  52.72  A3  A
4  0.57  50.8  A4  A
5  0.57  48.81  A5  A
6  0.57  44.84  A6  A
7  0.57  48.42  A7  A
8  0.57  50.16  A8  A
9  0.57  46.88  A9  A
1  0.572  51.28  A1  A
2  0.572  49.46  A2  A
3  0.572  52.8  A3  A
4  0.572  51.02  A4  A
5  0.572  49.1  A5  A
6  0.572  45.17  A6  A
7  0.572  48.34  A7  A
8  0.572  50.53  A8  A
9  0.572  46.81  A9  A
1  0.574  51.05  A1  A
2  0.574  49.89  A2  A
3  0.574  52.96  A3  A
4  0.574  51.4  A4  A
5  0.574  49.53  A5  A
6  0.574  45.17  A6  A
7  0.574  48.49  A7  A
8  0.574  50.53  A8  A
9  0.574  46.68  A9  A
1  0.576  51.2  A1  A
2  0.576  49.96  A2  A
3  0.576  53.11  A3  A
4  0.576  51.33  A4  A
5  0.576  49.75  A5  A
6  0.576  45.04  A6  A
7  0.576  48.56  A7  A
8  0.576  50.75  A8  A
9  0.576  47.36  A9  A
1  0.578  51.43  A1  A
2  0.578  49.96  A2  A
3  0.578  53.11  A3  A
4  0.578  51.94  A4  A
5  0.578  49.9  A5  A
6  0.578  45.17  A6  A
7  0.578  49.06  A7  A
8  0.578  51.2  A8  A
9  0.578  47.43  A9  A
1  0.58  51.95  A1  A
2  0.58  50.25  A2  A
3  0.58  53.51  A3  A
4  0.58  52.33  A4  A
5  0.58  50.2  A5  A
6  0.58  45.9  A6  A
7  0.58  48.77  A7  A
8  0.58  51.35  A8  A
9  0.58  47.7  A9  A
1  0.582  52.1  A1  A
2  0.582  50.18  A2  A
3  0.582  53.58  A3  A
4  0.582  52.1  A4  A
5  0.582  50.42  A5  A
6  0.582  45.83  A6  A
7  0.582  48.92  A7  A
8  0.582  51.35  A8  A
9  0.582  47.91  A9  A
1  0.584  52.87  A1  A
2  0.584  50.47  A2  A
3  0.584  53.82  A3  A
4  0.584  52.33  A4  A
5  0.584  51.25  A5  A
6  0.584  45.97  A6  A
7  0.584  49.5  A7  A
8  0.584  51.57  A8  A
9  0.584  48.19  A9  A
1  0.586  52.95  A1  A
2  0.586  51.07  A2  A
3  0.586  53.98  A3  A
4  0.586  52.57  A4  A
5  0.586  51.1  A5  A
6  0.586  46.24  A6  A
7  0.586  49.5  A7  A
8  0.586  51.65  A8  A
9  0.586  48.33  A9  A
1  0.588  53.18  A1  A
2  0.588  51.14  A2  A
3  0.588  53.9  A3  A
4  0.588  53.12  A4  A
5  0.588  51.55  A5  A
6  0.588  46.71  A6  A
7  0.588  49.64  A7  A
8  0.588  51.73  A8  A
9  0.588  48.82  A9  A
1  0.59  53.41  A1  A
2  0.59  51.59  A2  A
3  0.59  54.71  A3  A
4  0.59  53.84  A4  A
5  0.59  51.94  A5  A
6  0.59  47.06  A6  A
7  0.59  50.09  A7  A
8  0.59  52.33  A8  A
9  0.59  48.82  A9  A
1  0.592  53.41  A1  A
2  0.592  51.67  A2  A
3  0.592  54.71  A3  A
4  0.592  54.33  A4  A
5  0.592  52.17  A5  A
6  0.592  47.41  A6  A
7  0.592  50.16  A7  A
8  0.592  52.64  A8  A
9  0.592  49.25  A9  A
1  0.594  53.88  A1  A
2  0.594  51.67  A2  A
3  0.594  55.03  A3  A
4  0.594  54.57  A4  A
5  0.594  52.4  A5  A
6  0.594  47.61  A6  A
7  0.594  50.83  A7  A
8  0.594  53.03  A8  A
9  0.594  49.61  A9  A
1  0.596  54.84  A1  A
2  0.596  52.2  A2  A
3  0.596  55.44  A3  A
4  0.596  54.74  A4  A
5  0.596  52.8  A5  A
6  0.596  47.68  A6  A
7  0.596  51.13  A7  A
8  0.596  53.34  A8  A
9  0.596  50.04  A9  A
1  0.598  55.01  A1  A
2  0.598  52.43  A2  A
3  0.598  55.36  A3  A
4  0.598  55.24  A4  A
5  0.598  53.59  A5  A
6  0.598  48.39  A6  A
7  0.598  50.76  A7  A
8  0.598  53.5  A8  A
9  0.598  50.04  A9  A
1  0.6  55.09  A1  A
2  0.6  52.51  A2  A
3  0.6  55.77  A3  A
4  0.6  55.74  A4  A
5  0.6  54.08  A5  A
6  0.6  48.53  A6  A
7  0.6  51.44  A7  A
8  0.6  54.14  A8  A
9  0.6  50.48  A9  A
1  0.602  55.49  A1  A
2  0.602  52.89  A2  A
3  0.602  56.1  A3  A
4  0.602  56.25  A4  A
5  0.602  54.65  A5  A
6  0.602  49.18  A6  A
7  0.602  51.74  A7  A
8  0.602  54.54  A8  A
9  0.602  50.7  A9  A
1  0.604  55.99  A1  A
2  0.604  53.21  A2  A
3  0.604  56.61  A3  A
4  0.604  56.86  A4  A
5  0.604  55.56  A5  A
6  0.604  49.32  A6  A
7  0.604  52.52  A7  A
8  0.604  54.94  A8  A
9  0.604  51.15  A9  A
1  0.606  56.66  A1  A
2  0.606  53.68  A2  A
3  0.606  56.95  A3  A
4  0.606  57.2  A4  A
5  0.606  55.65  A5  A
6  0.606  49.54  A6  A
7  0.606  52.21  A7  A
8  0.606  55.43  A8  A
9  0.606  51.83  A9  A
1  0.608  56.83  A1  A
2  0.608  53.28  A2  A
3  0.608  57.64  A3  A
4  0.608  57.2  A4  A
5  0.608  56.07  A5  A
6  0.608  49.98  A6  A
7  0.608  53.55  A7  A
8  0.608  56.01  A8  A
9  0.608  52.36  A9  A
1  0.61  57.59  A1  A
2  0.61  54.08  A2  A
3  0.61  57.46  A3  A
4  0.61  57.73  A4  A
5  0.61  55.9  A5  A
6  0.61  50.2  A6  A
7  0.61  54.03  A7  A
8  0.61  56.43  A8  A
9  0.61  52.51  A9  A
1  0.612  57.68  A1  A
2  0.612  54.16  A2  A
3  0.612  58.34  A3  A
4  0.612  58.27  A4  A
5  0.612  56.58  A5  A
6  0.612  50.65  A6  A
7  0.612  54.19  A7  A
8  0.612  57.03  A8  A
9  0.612  53.21  A9  A
1  0.614  58.03  A1  A
2  0.614  54.32  A2  A
3  0.614  58.87  A3  A
4  0.614  58.09  A4  A
5  0.614  57.19  A5  A
6  0.614  51.18  A6  A
7  0.614  54.77  A7  A
8  0.614  57.45  A8  A
9  0.614  53.69  A9  A
1  0.616  58.38  A1  A
2  0.616  54.56  A2  A
3  0.616  59.41  A3  A
4  0.616  58.9  A4  A
5  0.616  57.89  A5  A
6  0.616  51.18  A6  A
7  0.616  55.35  A7  A
8  0.616  57.97  A8  A
9  0.616  54.08  A9  A
1  0.618  58.55  A1  A
2  0.618  55.21  A2  A
3  0.618  59.5  A3  A
4  0.618  59.36  A4  A
5  0.618  57.36  A5  A
6  0.618  51.33  A6  A
7  0.618  55.68  A7  A
8  0.618  58.24  A8  A
9  0.618  55.05  A9  A
1  0.62  59.44  A1  A
2  0.62  55.37  A2  A
3  0.62  59.95  A3  A
4  0.62  59.36  A4  A
5  0.62  58.33  A5  A
